section,n,condition,pair,metric,v_base,v3_orig,delta,class
음향델타_불만제기,5,,all,acoustic_delta_recall,0.009592326139088732,0.021582733812949645,0.011990407673860913,불만제기
음향델타_불만제기,5,,all,acoustic_delta_precision,0.029733959311424113,0.010840108401084014,-0.0188938509103401,불만제기
음향델타_불만제기,5,,all,acoustic_delta_f1,0.014515352408649262,0.023344853872563354,0.008829501463914091,불만제기
음향델타_기타클래스,5,,all,acoustic_delta_recall,-0.008429926238145424,-0.04109589041095896,-0.03266596417281353,배송확인
음향델타_기타클래스,5,,all,acoustic_delta_precision,-0.00332955664846879,0.02108818777408883,0.02441774442255762,배송확인
음향델타_기타클래스,5,,all,acoustic_delta_f1,-0.0050384978721650375,0.0020405308788269405,0.007079028750991978,배송확인
음향델타_기타클래스,5,,all,acoustic_delta_recall,-0.001512859304084735,-0.15279878971255667,-0.15128593040847194,교환반품
음향델타_기타클래스,5,,all,acoustic_delta_precision,-0.00187518947645271,0.06352117053747108,0.0653963600139238,교환반품
음향델타_기타클래스,5,,all,acoustic_delta_f1,-0.0017077037514076077,-0.055861625870504805,-0.0541539221190972,교환반품
음향델타_기타클래스,5,,all,acoustic_delta_recall,-0.01821493624772319,-0.014571948998178486,0.0036429872495447047,구매진행
음향델타_기타클래스,5,,all,acoustic_delta_precision,-0.005639792899408247,-0.07262665315071076,-0.06698686025130252,구매진행
음향델타_기타클래스,5,,all,acoustic_delta_f1,-0.009822794909807975,-0.0609797670265631,-0.05115697211675513,구매진행
음향델타_기타클래스,5,,all,acoustic_delta_recall,0.008219178082191803,0.15159817351598176,0.14337899543378996,서비스이용
음향델타_기타클래스,5,,all,acoustic_delta_precision,0.013315179444211678,-0.07441403890298415,-0.08772921834719583,서비스이용
음향델타_기타클래스,5,,all,acoustic_delta_f1,0.010418065415588984,0.03262984037365402,0.022211774958065034,서비스이용
